flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
0,54,6,64,0.329807153,0.329807153,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,567,54,54,54,0,54,83343831.92,9.5,10.39230485,0,0,0,141.55,DDoS-RSTFINFlood
0,57.04,6.33,64,4.290556192,4.290556192,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,581.33,54,66.3,54.79640359,2.822973165,57.04,82926067.47,9.5,10.46466611,4.010353307,160.9878424,0.05,141.55,DoS-TCP_Flood
0,0,1,64,33.39679911,33.39679911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,441,42,42,42,0,42,83127993.93,9.5,9.16515139,0,0,0,141.55,DDoS-ICMP_Flood
0.328174953,76175,17,64,4642.13301,4642.13301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,525,50,50,50,0,50,83015696.38,9.5,10,0,0,0,141.55,DoS-UDP_Flood
0.117320385,101.73,6.11,65.91,6.202211257,6.202211257,0,0,1,0,0,0,0,0,0,1.01,0.04,0,0.02,0,0,0,0,0,0,0,1,0,0,0,0,1,1,644.6,57.88,131.6,67.95922987,23.11311146,57.88,82972999.18,9.5,11.34687642,32.71624254,3016.808286,0.19,141.55,DoS-SYN_Flood
0,0,47,64,1.954122905,1.954122905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6216,592,592,592,0,592,83698395.13,9.5,34.40930107,0,0,0,141.55,Mirai-greeth_flood
1.052462506,108,6,64,1.902352867,1.902352867,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,567,54,54,54,0,54,83365480,9.5,10.39230485,0,0,0,141.55,DDoS-SynonymousIP_Flood
0.142555223,2322.79,6.66,79.77,493.2836359,493.2836359,0,0,0,0,0,1,0,0,0,0.02,0,1,30.41,0,1,0,0,0,0,0,1,0,0,0,0,1,1,973.23,62.4,166.71,93.90730504,35.34702893,94.41,83707173.31,9.5,13.42281661,48.12290307,3201.472632,0.38,141.55,Mirai-udpplain
0.00213517,192.52,16.89,65.73,16.88324003,16.88324003,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.02,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1885.4,156.4,180.72,177.3948932,7.624943986,180.72,83007316.82,9.5,18.80939642,10.79298723,328.325187,0.19,141.55,DoS-UDP_Flood
0,54.2,6,64,11.24354696,11.24354696,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,569.4,54,56.4,54.1759765,0.61984925,54.2,83089056.37,9.5,10.40916772,0.878112971,3.254011273,0.12,141.55,DDoS-SYN_Flood
0.223192194,61.54,6.11,64.64,9.087881544,9.087881544,0,0,0,0,1,1,0,0,0,0,0.11,0.99,0.99,0,0,0,0,0,0,0,1,0,0,0,0,1,1,573.93,54,60.93,54.44495398,1.692072523,54.77,83330874.2,9.5,10.43434748,2.398779866,32.14067963,0.09,141.55,DDoS-PSHACK_Flood
0,54,6,64,17.33318126,17.33318126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,567,54,54,54,0,54,83075921.33,9.5,10.39230485,0,0,0,141.55,DDoS-TCP_Flood
0,0,1,75.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,441,42,42,42,0,42,83150047.38,9.5,9.16515139,0,0,0,141.55,DDoS-ICMP_Flood
6.745006099,108,6,64,0.29651567,0.29651567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,567,54,54,54,0,54,82943426.93,9.5,10.39230485,0,0,0,141.55,DoS-TCP_Flood
0,0,1,64,1.507148375,1.507148375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,441,42,42,42,0,42,83150315.6,9.5,9.16515139,0,0,0,141.55,DDoS-ICMP_Flood
0.019979129,58.56,6.11,64.64,1.627960237,1.627960237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,587.88,54,74.88,56.433378,6.330105488,55.16,82943431.13,9.5,10.60966003,8.960900809,236.009885,0.18,141.55,DoS-TCP_Flood
0.088334897,29216,17,64,7752.316374,7752.316374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,525,50,50,50,0,50,83102326.67,9.5,10,0,0,0,141.55,DDoS-UDP_Flood
0.009798415,11833.5,16.68,67.82,24151.39897,24151.39897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,530,50,55,50.39663555,1.327509367,50.4,83011689.37,9.5,10.03941706,1.880409261,7.235812293,0.25,141.55,DoS-UDP_Flood
0,54,6,64,50.09918777,50.09918777,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,567,54,54,54,0,54,83093981.15,9.5,10.39230485,0,0,0,141.55,DDoS-SYN_Flood
0.00851346,9025,17,64,21095.83339,21095.83339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,525,50,50,50,0,50,83012428.32,9.5,10,0,0,0,141.55,DoS-UDP_Flood
0.092169585,16692.5,17,64,4124.115328,4124.115328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,525,50,50,50,0,50,83123733.35,9.5,10,0,0,0,141.55,DDoS-UDP_Flood
0,0,1,64,14.32837126,14.32837126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,441,42,42,42,0,42,83149624.72,9.5,9.16515139,0,0,0,141.55,DDoS-ICMP_Flood
37.88702755,1687747.1,9.3,63.5,34.04822059,34.04822059,0,0,0,0,0,1,0,0,0,0,0,58.6,1610.8,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2733.2,77,817.5,356.4069444,332.1224511,817.5,0.005235219,5.5,24.33335522,469.6920748,209236.1925,0.9,38.5,BenignTraffic
0,81,6,64,37.23935038,37.23935038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,567,54,54,54,0,54,82925823.78,9.5,10.39230485,0,0,0,141.55,DoS-TCP_Flood
0,0,1,64,4972.500296,4972.500296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,441,42,42,42,0,42,83128576.46,9.5,9.16515139,0,0,0,141.55,DDoS-ICMP_Flood
0,53.46,5.94,63.36,0.329388325,0.329388325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,568.02,54,55.02,54.10586438,0.299134978,54.06,83068547.06,9.5,10.40246945,0.423494869,0.551417647,0.17,141.55,DDoS-TCP_Flood
0.199231648,755901,6,64,3244.965758,3244.965758,0,0,0,0,0,1,0,0,0,0,0,119,646.5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,363,66,66,66,0,66,5.51E-06,5.5,11.48912529,0,0,0,38.5,MITM-ArpSpoofing
0,0,47,64,3.118460957,3.118460957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6216,592,592,592,0,592,83676994.78,9.5,34.40930107,0,0,0,141.55,Mirai-greeth_flood
0.941904826,130.68,6,64,3.044594524,3.044594524,0,0,1,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,567,54,54,54,0,54,83362094.36,9.5,10.39230485,0,0,0,141.55,DDoS-SynonymousIP_Flood
0,54,6,64,114.0965697,114.0965697,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,567,54,54,54,0,54,83072244.96,9.5,10.39230485,0,0,0,141.55,DDoS-TCP_Flood
